순번,침수 원인(FLUD_CAUSE),침수 지구 명(F_DSTRC_NM),침수 재해 명(F_DSSTR_NM),침수 원인 상세(F_CUE_DTL),행정구역 코드(ADM_CD),침수위(FLUD_WAL),Latitude,Longitude
32614,2,동광1지구,태풍'볼라벤'으로 인한 침수,하수구에서 물이 넘쳐 대지로 유입. 우수집중유입,제주특별자치도 서귀포시 안덕면 동광리,28.7M,33.3151545,126.3426768
32615,2,동광2지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수집중유입,제주특별자치도 서귀포시 안덕면 동광리,28.7M,33.3151545,126.3426768
32616,2,사계1지구,태풍'볼라벤'으로 인한 침수,도로에서 우수가 집중유입되어 침수,제주특별자치도 서귀포시 안덕면 사계리,28.7M,33.237032,126.3020597
32617,2,화순1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수 유입,제주특별자치도 서귀포시 안덕면 화순리,28.7M,33.2522985,126.3330875
32618,2,화순2지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로및 주위 높은 지대에서 우수유입,제주특별자치도 서귀포시 안덕면 화순리,28.7M,33.2522985,126.3330875
32619,2,화순3지구,태풍'볼라벤'으로 인한 침수,지대가 다른 필지에 비해 낮아 우수집중유입,제주특별자치도 서귀포시 안덕면 화순리,28.7M,33.2522985,126.3330875
32620,2,남원1지구,태풍'볼라벤'으로 인한 침수,태풍으로 인한 바닷물유입,제주특별자치도 서귀포시 남원읍 남원리,31.7M,33.288528,126.7041357
32621,2,남원2지구,태풍'볼라벤'으로 인한 침수,태풍으로 인한 바닷물 유입,제주특별자치도 서귀포시 남원읍 남원리,31.7M,33.288528,126.7041357
32622,2,신례1지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32623,2,신례2지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32624,2,신례3지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32625,2,신례4지구,태풍'볼라벤'으로 인한 침수,파도에 의한 해수유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32626,2,신례5지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 해수가 해안도로에서 유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32627,2,신례6지구,태풍'볼라벤'으로 인한 침수,본채는 높고 바깥채는 지대가 낮음. 지대가 낮아 우수유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32628,2,신례7지구,태풍'볼라벤'으로 인한 침수,파도에 의해 해수유입,제주특별자치도 서귀포시 남원읍 신례리,31.7M,33.299995,126.6297939
32629,2,위미1지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮으며 태풍으로 인한 출입문 파손으로 해수 유입,제주특별자치도 서귀포시 남원읍 위미리,31.7M,33.3060336,126.6580882
32630,2,위미2지구,태풍'볼라벤'으로 인한 침수,해안가로 태풍시 바닷물이 유입,제주특별자치도 서귀포시 남원읍 위미리,31.7M,33.3060336,126.6580882
32631,2,하례1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수가 유입되며 배수시설이 협소함,제주특별자치도 서귀포시 남원읍 하례리,31.7M,33.3420367,126.5884214
32632,2,세화1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로에서 우수 유입,제주특별자치도 서귀포시 표선면 세화리,31.7M,33.3255768,126.7999334
32633,2,고성1지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,제주특별자치도 서귀포시 성산읍 고성리,3.21M,33.4445754,126.9095025
32634,2,고성2지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,제주특별자치도 서귀포시 성산읍 고성리,3.13M,33.4445754,126.9095025
32635,2,고성3지구,태풍'볼라벤'으로 인한 침수,해안가로 파도에 의한 해수 유입,제주특별자치도 서귀포시 성산읍 고성리,4.67M,33.4445754,126.9095025
32636,2,성산1지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 많이 낮아 우수 유입,제주특별자치도 서귀포시 성산읍 성산리,7.21M,33.4699253,126.932416
32637,2,성산2지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수유입,제주특별자치도 서귀포시 성산읍 성산리,3.28M,33.4699253,126.932416
32638,2,성산3지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,제주특별자치도 서귀포시 성산읍 성산리,5.7M,33.4699253,126.932416
32639,2,성산4지구,태풍'볼라벤'으로 인한 침수,파도에 의해 바닷물이 유입,제주특별자치도 서귀포시 성산읍 성산리,6.74M,33.4699253,126.932416
32640,2,성산5지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 유입. 배수시설 협소,제주특별자치도 서귀포시 성산읍 성산리,5.21M,33.4699253,126.932416
32641,2,성산6지구,태풍'볼라벤'으로 인한 침수,도로보다 지대가 낮아 우수 유입,제주특별자치도 서귀포시 성산읍 성산리,3.69M,33.4699253,126.932416
32642,2,수산1지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 도로 및 주위필지에서 우수유입,제주특별자치도 서귀포시 성산읍 수산리,44.05M,33.4392962,126.8533722
32643,2,신산1지구,태풍'볼라벤'으로 인한 침수,해안가로 파도에 의한 해수 유입,제주특별자치도 서귀포시 성산읍 신산리,6.22M,33.3847609,126.8665211
32644,2,신산2지구,태풍'볼라벤'으로 인한 침수,지대가 낮아 빗물 및 바닷물 유입,제주특별자치도 서귀포시 성산읍 신산리,3.06M,33.3847609,126.8665211
